created_at,text
2021-12-04 7:20:01,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:20:01,"RT @ETERNALKSM: FOUND PHONE PLS RT. 

IF IT BELONGS TO YOU WE HANDED IT TO A STAFF @ THE AMORE PACIFIC BOOTH 
#PTD_ON_STAGE_LA #PTD_ON_STAG…"
2021-12-04 7:20:00,RT @philiphengg: Tae really told the cameraman to hand his jacket over to us 🥲 #PTD_ON_STAGE_LA https://t.co/sR0cebQ5p4
2021-12-04 7:20:00,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:19:59,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:19:58,RT @gcfsserendipity: not taekook at it again in front of me… AGAIN 😭 #PTD_ON_STAGE_LA_Day3 #PTD_ON_STAGE_LA #방탄소년단  #BTS https://t.co/4hnqr…
2021-12-04 7:19:58,"RT @TaeTaes92: It was only inevitable that Namjoon was going to break something.. 😭😭
#PTD_ON_STAGE_LA_Day4 
#PTD_ON_STAGE_LA 
#PTD_LA_ON_ST…"
2021-12-04 7:19:56,"RT @BTS_ARMY: Thank you, Los Angeles! Thank you #BTS #방탄소년단  #BTSARMY 
See you again next time!💜💜💜💜💜💜💜
#PTD_ON_STAGE_LA  #Stage_For_ARMY  #…"
2021-12-04 7:19:56,"RT @BTSxSasha: #PTD_ON_STAGE_LA_Day4 

ME: Do you think we were loud?

SOFI STAFF: I’ve worked a lot of events…NFL, Kaskade, Rolling Stones…"
2021-12-04 7:19:55,"RT @BTSxSasha: #PTD_ON_STAGE_LA_Day4 

ME: Do you think we were loud?

SOFI STAFF: I’ve worked a lot of events…NFL, Kaskade, Rolling Stones…"
